id,category,status,permitted_wording,required_qualifier,evidence_paths,review_question_ids,prohibited_overstatement
CLM-01,baseline_semantics,PENDING_INDEPENDENT_REVIEW,"The repository deterministically implements the documented B0, B1, and B2 abstract outcome rules.","Describe these as design-oracle behavior under the repository abstraction, not as empirical or cryptographic findings.",docs/baseline-semantics-decision.md;spec/baseline-semantics.json;tests/scenarios/baseline-test-catalog.json;src/ttc_recovery/simulator.py;tests/test_simulator.py,B1-R1;B1-R2;B1-R3;B1-R4;B1-R5;B2-R1;B2-R2;B2-R3;B2-R4;B2-R5;B2-R6;B2-R7,The baseline semantics are independently approved or cryptographically proven.
CLM-02,b1_mapping,PENDING_INDEPENDENT_REVIEW,ACTIVATE_ON_LOCAL_COMPLETION is a project-supplied minimum-assumption operational integration for the three-message B1 exchange.,"State that the cited source does not specify SDLS activation, rollback, or an installation acknowledgment.",references/source-notes/triple-kem.md;docs/baseline-semantics-decision.md;spec/baseline-semantics.json,B1-R1;B1-R3,The Triple-KEM source mandates this activation policy.
CLM-03,b1_mapping,PENDING_INDEPENDENT_REVIEW,"Under ACTIVATE_ON_LOCAL_COMPLETION, loss of KEM_CONFIRM produces ground-ahead divergence in the abstract simulator.",Tie the result to the selected project integration and deterministic model state.,docs/baseline-semantics-decision.md;spec/baseline-semantics.json;tests/test_simulator.py,B1-R2;B1-R5,Confirmation loss necessarily causes divergence in every Triple-KEM deployment.
CLM-04,b1_mapping,PENDING_INDEPENDENT_REVIEW,DEFER_UNTIL_AUTHENTICATED_STATUS is an explicit project-added four-message comparison variant.,Do not attribute the added status message or its activation rule to the source construction.,references/source-notes/triple-kem.md;docs/baseline-semantics-decision.md;spec/baseline-semantics.json,B1-R3;B1-R4,The enhanced variant is the cited three-message protocol.
CLM-05,b2_mapping,PENDING_INDEPENDENT_REVIEW,The B2 baseline adapts a unidirectional ratcheted-key-exchange pattern with ground as sender and spacecraft as receiver.,"Call role mapping, strict deletion, status telemetry, and lockout classification project modeling decisions.",references/source-notes/poettering-roesler-urke.md;docs/baseline-semantics-decision.md;spec/baseline-semantics.json,B2-R1;B2-R2,The repository implements or conforms to the source construction.
CLM-06,b2_compromise_scope,PENDING_INDEPENDENT_REVIEW,"The B2 abstraction separates traffic-key disclosure from sender-state, receiver-state, and both-endpoint-state exposure.",State that the classifications are abstract comparison semantics requiring source-grounding review.,references/source-notes/poettering-roesler-urke.md;spec/baseline-semantics.json;tests/test_simulator.py,B2-R3;B2-R4;B2-R5;B2-R6,All compromise scopes have equivalent recovery guarantees.
CLM-07,b2_outcome,PENDING_INDEPENDENT_REVIEW,Receiver-state exposure is classified as AVAILABLE_UNSAFE after aligned update in the current B2 abstraction.,"Interpret AVAILABLE_UNSAFE as an attacker-knowledge model outcome, not a measured security failure rate.",docs/baseline-semantics-decision.md;spec/baseline-semantics.json;tests/test_simulator.py,B2-R5;C-R3,Receiver-state exposure always compromises every future key in an operational system.
CLM-08,b2_outcome,PENDING_INDEPENDENT_REVIEW,"Active sender-state impersonation, dropped update after sender evolution, and stale restore are classified as LOCKED in the strict B2 model.",Describe LOCKED as a project operational classification under strict no-rollback/no-checkpoint assumptions.,docs/baseline-semantics-decision.md;spec/baseline-semantics.json;tests/test_simulator.py,B2-R6;B2-R7;C-R4,The source paper proves operational lockout for these TT&C faults.
CLM-09,formal_execution,PERMITTED_WITH_QUALIFIER,The Phase 10 TLA+ model parsed successfully and TLC found no counterexample within the recorded finite configuration.,Use exactly NO_COUNTEREXAMPLE_WITHIN_RECORDED_BOUND; do not use proof or verified.,spec/phase-10-formal-model-execution.json;formal/tla/T1Recovery.tla;formal/tla/MC.cfg;docs/phase-10-formal-model-execution.md,F-R1;F-R5,The protocol is formally verified or secure.
CLM-10,trace_cross_validation,DIAGNOSTIC_ONLY,Recorded formal and Python traces matched within the declared 16-field abstraction for the tested witness paths.,State that macro-step projection agreement is not refinement proof or implementation equivalence.,spec/phase-11-formal-python-cross-validation.json;spec/phase-12-adverse-outcome-witnesses.json;spec/phase-13-abstraction-gap-outcomes.json,F-R2;F-R3;F-R5,The Python implementation refines or is equivalent to the TLA+ model.
CLM-11,outcome_expansion,DIAGNOSTIC_ONLY,"The opt-in Phase 13 module contains one explicit bounded witness path each for DIVERGED, AVAILABLE_UNSAFE, and LOCKED while preserving the Phase 10–12 baseline module.","Call the expansion opt-in, provisional, and diagnostic-only.",spec/phase-13-abstraction-gap-outcomes.json;formal/tla/T1Recovery.tla;formal/tla/T1RecoveryOutcomeExpansion.tla;docs/phase-13-abstraction-gap-outcomes.md,F-R4;F-R5,"The expansion is complete, realistic, accepted, or a replacement baseline."
CLM-12,causal_interpretation,NOT_PERMITTED,No causal claim is permitted for the Phase 13 gapCause labels.,Treat gapCause only as a provisional diagnostic label.,spec/phase-13-abstraction-gap-outcomes.json;PROJECT_STATUS.md,F-R4,"A recorded gapCause is necessary, sufficient, likely, or exhaustive."
CLM-13,model_completeness,NOT_PERMITTED,No claim of formal-model or outcome-population completeness is permitted.,Unobserved behavior remains bounded non-reachability or outside the current abstraction.,formal/README.md;PROJECT_STATUS.md;spec/phase-13-abstraction-gap-outcomes.json,F-R1;F-R4;F-R5,The modeled outcomes exhaust all possible recovery behavior.
CLM-14,implementation_equivalence,NOT_PERMITTED,No refinement or implementation-equivalence claim is permitted.,Trace comparison covers only declared fields and selected witness paths.,spec/phase-11-formal-python-cross-validation.json;spec/phase-12-adverse-outcome-witnesses.json;spec/phase-13-abstraction-gap-outcomes.json,F-R2;F-R3;F-R5,The formal model and Python code are behaviorally equivalent.
CLM-15,cryptographic_security,NOT_PERMITTED,"No cryptographic security, PCS, confidentiality, authenticity, or key-indistinguishability claim is permitted from the simulator or formal traces.",Source-paper guarantees are not inherited by the repository abstractions.,docs/baseline-semantics-decision.md;formal/README.md;references/source-notes/triple-kem.md;references/source-notes/poettering-roesler-urke.md,C-R1;C-R2;C-R3;F-R5,The repository proves post-compromise security.
CLM-16,operational_applicability,NOT_PERMITTED,"No CCSDS/SDLS conformance, flight-software correctness, RF behavior, or operational-spacecraft claim is permitted.",The work remains abstract and simulated.,formal/README.md;PROJECT_STATUS.md,C-R1;F-R5,The results demonstrate operational spacecraft recovery.
CLM-17,publication_evidence,NOT_PERMITTED,Current simulation and formal outputs are internal diagnostic evidence only.,"Independent review, correction closure, and revalidation are required before publication use.",PROJECT_STATUS.md;spec/phase-13-abstraction-gap-outcomes.json;governance/phase-04-independent-review-gate.md,G-R2;F-R5,The current outputs are publication-ready security evidence.
CLM-18,oracle_freeze,NOT_PERMITTED,The 21 baseline scenario oracles remain a freeze candidate pending independent review.,Use PENDING_INDEPENDENT_REVIEW and do not mark the candidate approved.,spec/baseline-oracle-freeze-candidate.json;governance/phase-04-independent-review-gate.md;governance/phase-05-reviewer-response-template.md,O-ALL;G-R2,The baseline oracles are frozen or independently approved.
CLM-19,governance,GOVERNANCE_EXCEPTION_REQUIRES_REVIEW,Phases 6–13 proceeded as provisional internal work even though the Phase 04 gate states that T1 work is blocked pending review.,Record this as a retrospective governance exception and ask the reviewer what revalidation is required.,governance/phase-04-independent-review-gate.md;PROJECT_STATUS.md;CHANGELOG.md,G-R1;G-R2,Later provisional work satisfied or superseded the original gate.
CLM-20,governance,PENDING_INDEPENDENT_REVIEW,"The phrase corrected and locked for abstract implementation refers to an internal implementation decision, not independent approval or oracle freeze.","Keep review approval, oracle freeze, and publication permission separate.",docs/baseline-semantics-decision.md;spec/baseline-semantics.json;spec/baseline-oracle-freeze-candidate.json,G-R3;C-R4,Corrected and locked means independently accepted.
